Date : 2022-10-14 14:38:12
Directory : c:\HAMRANDROID\hamr-android\hamr
Total : 103 files,  37718 codes, 940 comments, 2763 blanks, all 41421 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| JSON            |          9 |     23,270 |          0 |         55 |     23,325 |
| JavaScript      |         66 |     12,796 |        615 |      2,172 |     15,583 |
| Java            |          7 |      1,146 |        156 |        399 |      1,701 |
| Groovy          |          3 |        161 |        119 |         32 |        312 |
| XML             |          5 |         88 |          2 |         13 |        103 |
| Batch           |          2 |         79 |          0 |         25 |        104 |
| Objective-C     |          3 |         78 |         18 |         29 |        125 |
| Ini             |          1 |         69 |         10 |         21 |        100 |
| Java Properties |          3 |         17 |         14 |          8 |         39 |
| PowerShell      |          3 |          9 |          0 |          4 |         13 |
| C               |          1 |          5 |          6 |          5 |         16 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |        103 |     37,718 |        940 |      2,763 |     41,421 |
| __tests__                                                                                   |          1 |          7 |          4 |          4 |         15 |
| analytics                                                                                   |          1 |         19 |          0 |          8 |         27 |
| android                                                                                     |         19 |      1,486 |        291 |        476 |      2,253 |
| android\app                                                                                 |         13 |      1,337 |        269 |        436 |      2,042 |
| android\app\src                                                                             |         11 |      1,192 |        158 |        411 |      1,761 |
| android\app\src\debug                                                                       |          1 |          6 |          0 |          3 |          9 |
| android\app\src\main                                                                        |         10 |      1,186 |        158 |        408 |      1,752 |
| android\app\src\main\java                                                                   |          7 |      1,146 |        156 |        399 |      1,701 |
| android\app\src\main\java\com                                                               |          7 |      1,146 |        156 |        399 |      1,701 |
| android\app\src\main\java\com\hamr                                                          |          7 |      1,146 |        156 |        399 |      1,701 |
| android\app\src\main\res                                                                    |          2 |          8 |          2 |          4 |         14 |
| android\app\src\main\res\values                                                             |          2 |          8 |          2 |          4 |         14 |
| android\gradle                                                                              |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                      |          1 |          5 |          0 |          1 |          6 |
| android\keystores                                                                           |          1 |          4 |          0 |          1 |          5 |
| components                                                                                  |         52 |     11,848 |        550 |      2,054 |     14,452 |
| components\auth                                                                             |          4 |        592 |         39 |         91 |        722 |
| components\inventory                                                                        |          9 |      2,371 |         26 |        393 |      2,790 |
| components\mainPage                                                                         |          1 |        275 |         10 |         42 |        327 |
| components\marketOrder                                                                      |          5 |      1,748 |         42 |        293 |      2,083 |
| components\misc                                                                             |          8 |        759 |         72 |        178 |      1,009 |
| components\printing                                                                         |          5 |        425 |        124 |        112 |        661 |
| components\search                                                                           |          5 |      3,253 |        175 |        538 |      3,966 |
| components\settings                                                                         |          4 |        974 |         24 |        170 |      1,168 |
| components\sync                                                                             |          1 |        587 |         19 |         81 |        687 |
| components\~handMade                                                                        |         10 |        864 |         19 |        156 |      1,039 |
| hoc                                                                                         |          1 |         74 |          2 |          8 |         84 |
| ios                                                                                         |          7 |        169 |         24 |         36 |        229 |
| ios\hamr                                                                                    |          6 |        122 |         18 |         20 |        160 |
| ios\hamrTests                                                                               |          1 |         47 |          6 |         16 |         69 |
| ios\hamr\Base.lproj                                                                         |          1 |         42 |          0 |          1 |         43 |
| ios\hamr\Images.xcassets                                                                    |          2 |         44 |          0 |          1 |         45 |
| ios\hamr\Images.xcassets\AppIcon.appiconset                                                 |          1 |         38 |          0 |          0 |         38 |
| navigation                                                                                  |          1 |        319 |         25 |         61 |        405 |
| scripts                                                                                     |          4 |         12 |          0 |          4 |         16 |
| styles                                                                                      |          4 |        433 |         15 |         10 |        458 |
| translations                                                                                |          3 |        497 |          4 |         57 |        558 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                    | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\HAMRANDROID\hamr-android\hamr\.flowconfig                                                | Ini             |         69 |         10 |         21 |        100 |
| c:\HAMRANDROID\hamr-android\hamr\.watchmanconfig                                            | JSON            |          1 |          0 |          0 |          1 |
| c:\HAMRANDROID\hamr-android\hamr\App.js                                                     | JavaScript      |         40 |          5 |         14 |         59 |
| c:\HAMRANDROID\hamr-android\hamr\__tests__\App-test.js                                      | JavaScript      |          7 |          4 |          4 |         15 |
| c:\HAMRANDROID\hamr-android\hamr\analytics\ga.js                                            | JavaScript      |         19 |          0 |          8 |         27 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\build.gradle                                   | Groovy          |        105 |        111 |         25 |        241 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\google-services.json                           | JSON            |         40 |          0 |          0 |         40 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\debug\AndroidManifest.xml                  | XML             |          6 |          0 |          3 |          9 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\AndroidManifest.xml                   | XML             |         32 |          0 |          5 |         37 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\CustomToastPackage.java | Java            |         23 |          0 |          8 |         31 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\ExportModule.java       | Java            |        231 |         76 |         92 |        399 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\Hamr.java               | Java            |         70 |          0 |         22 |         92 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\MainActivity.java       | Java            |         34 |          6 |         14 |         54 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\MainApplication.java    | Java            |         75 |          9 |         15 |         99 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\SmbModule.java          | Java            |        336 |          5 |        101 |        442 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\ToastModule.java        | Java            |        377 |         60 |        147 |        584 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\res\values\strings.xml                | XML             |          3 |          0 |          1 |          4 |
| c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\res\values\styles.xml                 | XML             |          5 |          2 |          3 |         10 |
| c:\HAMRANDROID\hamr-android\hamr\android\build.gradle                                       | Groovy          |         45 |          6 |          7 |         58 |
| c:\HAMRANDROID\hamr-android\hamr\android\gradle.properties                                  | Java Properties |          8 |         14 |          6 |         28 |
| c:\HAMRANDROID\hamr-android\hamr\android\gradle\wrapper\gradle-wrapper.properties           | Java Properties |          5 |          0 |          1 |          6 |
| c:\HAMRANDROID\hamr-android\hamr\android\gradlew.bat                                        | Batch           |         76 |          0 |         25 |        101 |
| c:\HAMRANDROID\hamr-android\hamr\android\keystores\debug.keystore.properties                | Java Properties |          4 |          0 |          1 |          5 |
| c:\HAMRANDROID\hamr-android\hamr\android\settings.gradle                                    | Groovy          |         11 |          2 |          0 |         13 |
| c:\HAMRANDROID\hamr-android\hamr\app.json                                                   | JSON            |          4 |          0 |          0 |          4 |
| c:\HAMRANDROID\hamr-android\hamr\babel.config.js                                            | JavaScript      |          6 |          1 |          1 |          8 |
| c:\HAMRANDROID\hamr-android\hamr\components\auth\firstTimeLogin.js                          | JavaScript      |        107 |          7 |         14 |        128 |
| c:\HAMRANDROID\hamr-android\hamr\components\auth\loading.js                                 | JavaScript      |        109 |         12 |         14 |        135 |
| c:\HAMRANDROID\hamr-android\hamr\components\auth\logout.js                                  | JavaScript      |         26 |          5 |          3 |         34 |
| c:\HAMRANDROID\hamr-android\hamr\components\auth\userLogin.js                               | JavaScript      |        350 |         15 |         60 |        425 |
| c:\HAMRANDROID\hamr-android\hamr\components\inventory\countComponent.js                     | JavaScript      |        578 |         10 |         78 |        666 |
| c:\HAMRANDROID\hamr-android\hamr\components\inventory\cycleCount.js                         | JavaScript      |        284 |          2 |         55 |        341 |
| c:\HAMRANDROID\hamr-android\hamr\components\inventory\fullCount.js                          | JavaScript      |        211 |          2 |         43 |        256 |
| c:\HAMRANDROID\hamr-android\hamr\components\inventory\inventoryParent.js                    | JavaScript      |         22 |          1 |          4 |         27 |
| c:\HAMRANDROID\hamr-android\hamr\components\inventory\inventoryRouter.js                    | JavaScript      |        153 |          1 |         26 |        180 |
| c:\HAMRANDROID\hamr-android\hamr\components\inventory\reviewCycleCount.js                   | JavaScript      |        315 |          3 |         50 |        368 |
| c:\HAMRANDROID\hamr-android\hamr\components\inventory\reviewFullCount.js                    | JavaScript      |        313 |          3 |         50 |        366 |
| c:\HAMRANDROID\hamr-android\hamr\components\inventory\reviewSpotCheck.js                    | JavaScript      |        316 |          3 |         49 |        368 |
